method,labeled_percentage,accuracy,dataset_percentage
smart,5.0,0.6256322071616427,10
smart,6.0,0.6284982129610898,10
smart,7.0,0.6329826690943422,10
smart,8.0,0.634735990289298,10
smart,9.0,0.6394901881448513,10
smart,10.0,0.6408726144716435,10
random,5.0,0.6256322071616427,10
random,6.0,0.630386405017196,10
random,7.0,0.6302515341560456,10
random,8.0,0.6302515341560456,10
random,9.0,0.6290714141209791,10
random,10.0,0.6280261649470632,10
random,5.0,0.6423149267768373,10
random,6.0,0.6425164584173049,10
random,7.0,0.6399301356979713,10
random,8.0,0.6397957812709929,10
random,9.0,0.6393591293833132,10
random,10.0,0.6395942496305254,10
