method,labeled_percentage,accuracy,dataset_percentage
smart,5.0,0.6380654575776527,40
smart,6.0,0.6407504690431519,40
smart,7.0,0.6427350427350428,40
smart,8.0,0.6450865124035856,40
smart,9.0,0.646262247237857,40
smart,10.0,0.6471461329997915,40
smart,11.0,0.6482134667500521,40
smart,12.0,0.6482384823848238,40
smart,13.0,0.6488055034396498,40
smart,14.0,0.64972274338128,40
smart,15.0,0.6497560975609756,40
random,5.0,0.6380654575776527,40
random,6.0,0.6376735459662289,40
random,7.0,0.6389326662497394,40
random,8.0,0.6396080883885762,40
random,9.0,0.639524702939337,40
random,10.0,0.6403335417969565,40
random,11.0,0.6408672086720867,40
random,12.0,0.6409172399416302,40
random,13.0,0.6414258911819888,40
random,14.0,0.6415509693558474,40
random,15.0,0.6415092766312278,40
