method,percentage_set,cores,time
smart,40,1,68.12680721282959
smart,40,1,62.66765260696411
smart,40,1,70.36449027061462
smart,100,1,212.39710068702698
smart,100,1,236.99455547332764
smart,100,1,225.9499809741974
smart,40,2,45.77863597869873
smart,40,2,45.68645191192627
smart,40,2,44.705498933792114
smart,100,2,136.04258871078491
smart,100,2,133.58697700500488
smart,100,2,131.3670618534088
smart,40,4,35.52597451210022
smart,40,4,36.34609794616699
smart,40,4,36.15311551094055
smart,100,4,58.587029218673706
smart,100,4,56.91337609291077
smart,100,4,58.84854984283447
smart,40,8,52.362555503845215
smart,40,8,53.92095899581909
smart,40,8,49.62293291091919
smart,100,8,67.34337449073792
smart,100,8,68.94599461555481
smart,100,8,69.70083260536194
smart,40,10,61.68157911300659
smart,40,10,59.28968286514282
smart,40,10,59.1513237953186
smart,100,10,79.69343733787537
smart,100,10,64.55524182319641
smart,100,10,55.67742443084717
